experiment,split,accuracy,precision,f1_score
E1_baseline_raw_pixels,validation,0.9203980099502488,0.9381443298969072,0.9191919191919192
E1_baseline_raw_pixels,test,0.8805970149253731,0.9052631578947369,0.8775510204081632
E2_preprocessed_pixels,validation,0.8955223880597015,0.9,0.8955223880597015
E2_preprocessed_pixels,test,0.9203980099502488,0.9473684210526315,0.9183673469387755
E3_augmented_preprocessed_pixels,validation,0.8955223880597015,0.9,0.8955223880597015
E3_augmented_preprocessed_pixels,test,0.8955223880597015,0.9444444444444444,0.8900523560209425
E4_hog_color_postprocessed,validation,0.945273631840796,0.9326923076923077,0.9463414634146341
E4_hog_color_postprocessed,test,0.9203980099502488,0.9047619047619048,0.9223300970873787
